"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2026年34週"
"集計期間終了週","2026年34週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"4歳","40","3","*","4","2","27","63","5","16","0","2","16","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"5歳","52","8","2306","0","1","19","49","6","11","0","1","8","2","0","0","0","1","0","0","0","0","0","2","1","0","0","1","0","0","1","1","0","0","1"
"6歳","30","6","*","0","1","24","48","4","10","1","1","4","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"7歳","30","5","*","0","0","14","35","8","6","1","0","4","1","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"8歳","25","5","*","0","2","15","36","4","3","0","0","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","16","4","*","0","0","7","43","3","3","0","0","4","2","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1","0","0","1","0"
"10～14歳","62","17","857","0","1","21","96","8","4","1","0","6","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15～19歳","25","18","342","0","0","1","17","0","1","0","0","2","0","0","0","0","0","0","0","2","0","0","2","0","0","0","1","0","0","1","1","0","0","0"
"20～29歳","47","34","610","0","4","15","91","0","8","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","40","20","712","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","61","35","633","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","32","45","712","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"60～69歳","16","27","477","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","1"
"70～79歳","16","12","391","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","4","0","0","0","0","0","2","0","2","0","2"
"80歳以上","4","14","256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","1","0","1","0","6"
"合計","576","295","13408","145","37","181","887","50","362","3","77","168","12","16","3","1","14","0","1","10","0","0","15","24","3","1","3","0","0","10","3","4","2","18"
"定点数","385","385","386","241","241","241","241","241","241","241","241","241","241","241","241","36","36","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"


